time in ms,raw 1,raw 2,raw 3,raw 4,raw 5,raw 6,raw 7,raw 8
51406,8388607,7276105,6872870,7133816,4532643,4264329,3038686,4753065
51529,8388607,7273241,6872999,7131190,4534044,4262235,3037112,4750843
51663,8388607,7274412,6873338,7132945,4534280,4265251,3038324,4752871
51796,8388607,7272741,6874767,7132045,4536137,4263516,3037932,4752906
51919,8388607,7273270,6871285,7132922,4534708,4264774,3029757,4753967
52062,8388607,7273824,6871267,7135653,4535101,4266679,3023419,4751111
52246,8388607,7273762,6871648,7133576,4532521,4263990,3019415,4748058
52379,8388607,7274223,6875345,7132055,4531212,4262984,3017685,4747918
52512,8388607,7273178,6873987,7129858,4531539,4260330,3017009,4747404
52645,8388607,7275702,6871516,7134302,4532548,4265253,3015046,4748550
52769,8388607,7275339,6874302,7132879,4532101,4263853,3015810,4746848
52902,8388607,7274454,6871633,7133826,4529852,4263585,3013308,4747426
53035,8388607,7272935,6876059,7132679,4530760,4260611,3013026,4747167
53169,8388607,7275513,6872993,7132280,4529677,4261465,3013743,4746215
53302,8388607,7275580,6873275,7133639,4531093,4264768,3015681,4750997
53435,8388607,7273209,6876774,7132414,4533149,4262116,3022215,4748980
53568,8388607,7275688,6873111,7132648,4533248,4263237,3017995,4750509
53702,8388607,7275634,6875765,7134146,4533343,4266390,3026531,4753996
53895,8388607,7274884,6879383,7130667,4534694,4264002,3036487,4751745
54028,8388607,7275693,6874430,7131978,4532176,4265278,3041483,4751144
54161,8388607,7276876,6875547,7135120,4533533,4266416,3043866,4751176
54295,8388607,7274593,6878165,7133476,4536053,4265071,3050550,4751864
54428,8388607,7276154,6874136,7134522,4535177,4268212,3049499,4751933
54561,8388607,7275415,6874433,7136412,4536618,4267193,3047748,4750706
